,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,labels
1356,0.381,0.44,5,-5.539,0,0.0792,0.0344,4.09e-06,0.119,0.375,178.708,audio_features,6W9diysjR1V67SRLaygwlI,spotify:track:6W9diysjR1V67SRLaygwlI,https://api.spotify.com/v1/tracks/6W9diysjR1V67SRLaygwlI,https://api.spotify.com/v1/audio-analysis/6W9diysjR1V67SRLaygwlI,203579,3,8
1357,0.54,0.59,0,-4.359,1,0.0528,0.446,0.0,0.14,0.267,119.878,audio_features,6y0igZArWVi6Iz0rj35c1Y,spotify:track:6y0igZArWVi6Iz0rj35c1Y,https://api.spotify.com/v1/tracks/6y0igZArWVi6Iz0rj35c1Y,https://api.spotify.com/v1/audio-analysis/6y0igZArWVi6Iz0rj35c1Y,234910,4,9
1358,0.908,0.87,0,-6.666,1,0.204,0.778,0.262,0.0933,0.807,157.035,audio_features,3jqg8gLVlGau6SyespptqN,spotify:track:3jqg8gLVlGau6SyespptqN,https://api.spotify.com/v1/tracks/3jqg8gLVlGau6SyespptqN,https://api.spotify.com/v1/audio-analysis/3jqg8gLVlGau6SyespptqN,296787,4,0
1359,0.575,0.848,4,-4.297,1,0.0885,0.131,0.0,0.11,0.42,159.941,audio_features,7vAb6xya02LhN4YQh8X42w,spotify:track:7vAb6xya02LhN4YQh8X42w,https://api.spotify.com/v1/tracks/7vAb6xya02LhN4YQh8X42w,https://api.spotify.com/v1/audio-analysis/7vAb6xya02LhN4YQh8X42w,280333,4,8
1360,0.582,0.862,1,-5.039,1,0.0747,0.00587,0.00276,0.0979,0.325,178.073,audio_features,3ytnSerVpcbMU9lajntBw7,spotify:track:3ytnSerVpcbMU9lajntBw7,https://api.spotify.com/v1/tracks/3ytnSerVpcbMU9lajntBw7,https://api.spotify.com/v1/audio-analysis/3ytnSerVpcbMU9lajntBw7,251667,4,8
1361,0.639,0.912,1,-2.621,1,0.0615,0.00107,0.0,0.097,0.343,143.448,audio_features,6nzXkCBOhb2mxctNihOqbb,spotify:track:6nzXkCBOhb2mxctNihOqbb,https://api.spotify.com/v1/tracks/6nzXkCBOhb2mxctNihOqbb,https://api.spotify.com/v1/audio-analysis/6nzXkCBOhb2mxctNihOqbb,227520,4,8
1362,0.744,0.756,9,-7.72,1,0.13,0.0954,0.698,0.893,0.364,160.981,audio_features,4IBwgoDpNG2p7EouVtFw0E,spotify:track:4IBwgoDpNG2p7EouVtFw0E,https://api.spotify.com/v1/tracks/4IBwgoDpNG2p7EouVtFw0E,https://api.spotify.com/v1/audio-analysis/4IBwgoDpNG2p7EouVtFw0E,220865,4,2
1363,0.568,0.951,10,-3.568,1,0.0402,0.000202,0.557,0.0483,0.435,118.005,audio_features,2xMBf5lFjQvrkWL2toULNg,spotify:track:2xMBf5lFjQvrkWL2toULNg,https://api.spotify.com/v1/tracks/2xMBf5lFjQvrkWL2toULNg,https://api.spotify.com/v1/audio-analysis/2xMBf5lFjQvrkWL2toULNg,247368,4,10
1364,0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,audio_features,4sCYKMatyhazyy6r2N7Hp2,spotify:track:4sCYKMatyhazyy6r2N7Hp2,https://api.spotify.com/v1/tracks/4sCYKMatyhazyy6r2N7Hp2,https://api.spotify.com/v1/audio-analysis/4sCYKMatyhazyy6r2N7Hp2,255320,4,8
1365,0.624,0.747,10,-7.338,1,0.176,0.307,0.0,0.168,0.505,92.022,audio_features,3ageqz49aNawDoyJVlc73I,spotify:track:3ageqz49aNawDoyJVlc73I,https://api.spotify.com/v1/tracks/3ageqz49aNawDoyJVlc73I,https://api.spotify.com/v1/audio-analysis/3ageqz49aNawDoyJVlc73I,234945,4,3
1366,0.263,0.555,4,-6.884,0,0.0446,0.316,5.78e-05,0.128,0.191,79.783,audio_features,6kgc2yup9oyZJg7CzEw4ao,spotify:track:6kgc2yup9oyZJg7CzEw4ao,https://api.spotify.com/v1/tracks/6kgc2yup9oyZJg7CzEw4ao,https://api.spotify.com/v1/audio-analysis/6kgc2yup9oyZJg7CzEw4ao,263765,4,9
1367,0.493,0.806,6,-6.937,1,0.076,0.00219,0.101,0.261,0.355,142.972,audio_features,0QAjwIEt6FVTbfASxmNolZ,spotify:track:0QAjwIEt6FVTbfASxmNolZ,https://api.spotify.com/v1/tracks/0QAjwIEt6FVTbfASxmNolZ,https://api.spotify.com/v1/audio-analysis/0QAjwIEt6FVTbfASxmNolZ,290000,4,8
1368,0.571,0.495,11,-7.927,1,0.0537,0.000806,0.772,0.109,0.074,125.996,audio_features,7yRE5KBKSrntclxCKnlgYs,spotify:track:7yRE5KBKSrntclxCKnlgYs,https://api.spotify.com/v1/tracks/7yRE5KBKSrntclxCKnlgYs,https://api.spotify.com/v1/audio-analysis/7yRE5KBKSrntclxCKnlgYs,413219,4,10
1369,0.614,0.588,8,-9.253,0,0.0445,0.53,0.000293,0.108,0.24,119.84,audio_features,6PhXaowUpjcO2RsCmCKXg4,spotify:track:6PhXaowUpjcO2RsCmCKXg4,https://api.spotify.com/v1/tracks/6PhXaowUpjcO2RsCmCKXg4,https://api.spotify.com/v1/audio-analysis/6PhXaowUpjcO2RsCmCKXg4,194561,4,4
1370,0.755,0.884,10,-5.296,0,0.0638,0.0208,2.97e-06,0.248,0.897,121.927,audio_features,7wdzLe2Gsx1RGqbvYZHASz,spotify:track:7wdzLe2Gsx1RGqbvYZHASz,https://api.spotify.com/v1/tracks/7wdzLe2Gsx1RGqbvYZHASz,https://api.spotify.com/v1/audio-analysis/7wdzLe2Gsx1RGqbvYZHASz,231933,4,3
1371,0.769,0.791,1,-4.632,0,0.441,0.21,0.0,0.0723,0.698,80.379,audio_features,1Al6RX8aKINy0pm7mLR7ar,spotify:track:1Al6RX8aKINy0pm7mLR7ar,https://api.spotify.com/v1/tracks/1Al6RX8aKINy0pm7mLR7ar,https://api.spotify.com/v1/audio-analysis/1Al6RX8aKINy0pm7mLR7ar,144240,4,0
